Class (label),school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences
1,0.0,1.0,16,0.0,0.0,1.0,3,3,2.0,2.0,4.0,1.0,2,2,0,0,1,0,1,1,1,1,0,5,4,4,2,4,5,0
0,0.0,0.0,15,1.0,1.0,1.0,3,5,3.0,4.0,1.0,1.0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
0,0.0,0.0,16,0.0,1.0,1.0,3,3,3.0,3.0,3.0,1.0,1,1,2,0,1,1,0,0,1,1,0,1,2,2,1,3,5,14
0,0.0,1.0,15,0.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,1,1,0,0,1,1,0,1,1,1,0,4,2,2,1,2,5,2
1,0.0,1.0,15,0.0,1.0,1.0,5,3,4.0,3.0,2.0,1.0,1,1,0,0,0,1,0,1,1,1,0,2,2,4,2,4,1,4
0,0.0,1.0,16,0.0,0.0,0.0,4,5,3.0,2.0,3.0,1.0,1,2,0,1,1,0,1,1,1,1,0,5,3,3,1,1,5,4
0,0.0,1.0,16,0.0,1.0,1.0,5,5,1.0,1.0,3.0,1.0,1,2,0,0,1,1,1,1,1,1,1,4,4,5,5,5,5,16
1,0.0,1.0,15,0.0,1.0,1.0,5,5,4.0,3.0,3.0,1.0,1,2,0,0,1,1,0,0,1,1,0,5,4,2,3,4,5,0
1,0.0,1.0,15,0.0,1.0,1.0,5,5,3.0,3.0,4.0,1.0,2,2,0,0,1,0,1,1,1,1,0,4,3,1,1,1,5,0
1,0.0,1.0,15,1.0,1.0,1.0,5,4,1.0,5.0,1.0,1.0,1,2,0,0,1,0,1,1,1,1,1,4,5,2,1,1,5,0
1,0.0,1.0,15,0.0,0.0,1.0,4,4,2.0,2.0,1.0,1.0,1,2,0,0,0,0,1,0,1,1,0,5,3,2,1,1,2,0
1,0.0,1.0,16,0.0,1.0,1.0,4,3,2.0,2.0,3.0,1.0,1,1,0,0,1,1,0,0,1,1,0,5,4,3,1,1,5,0
0,0.0,0.0,15,0.0,1.0,1.0,3,4,2.0,2.0,2.0,2.0,2,1,0,0,1,0,1,1,1,0,0,3,5,1,1,1,5,0
1,0.0,1.0,15,0.0,0.0,1.0,5,4,1.0,3.0,3.0,1.0,1,3,0,0,1,0,1,1,1,1,0,5,4,3,1,1,4,2
1,0.0,1.0,16,1.0,1.0,0.0,5,5,2.0,1.0,4.0,1.0,2,3,0,0,1,0,1,1,1,1,1,2,4,3,1,1,5,7
0,0.0,0.0,15,1.0,1.0,1.0,4,5,3.0,4.0,1.0,1.0,1,3,0,1,1,1,1,1,1,1,0,4,3,2,1,1,5,2
1,0.0,0.0,15,1.0,1.0,1.0,3,3,5.0,2.0,4.0,1.0,1,1,0,1,1,1,1,1,1,0,0,4,3,1,1,1,2,8
0,0.0,0.0,16,0.0,0.0,1.0,3,3,2.0,2.0,3.0,1.0,2,2,1,0,1,0,1,0,1,1,1,3,3,3,1,2,3,25
1,0.0,1.0,15,0.0,0.0,1.0,5,5,1.0,2.0,3.0,3.0,1,1,0,0,1,0,0,0,1,1,1,5,4,3,2,4,5,8
1,0.0,1.0,15,0.0,1.0,1.0,5,5,3.0,1.0,1.0,2.0,1,2,0,0,1,0,1,1,1,1,0,4,3,3,1,1,5,2
0,0.0,1.0,15,0.0,1.0,1.0,3,3,3.0,3.0,1.0,2.0,1,1,0,1,1,0,0,1,1,1,0,5,4,1,1,1,1,0
0,0.0,0.0,16,0.0,0.0,1.0,3,3,2.0,5.0,1.0,2.0,2,2,1,1,0,0,1,1,1,1,0,4,3,3,2,2,5,14
0,0.0,0.0,15,0.0,0.0,0.0,5,4,2.0,2.0,1.0,1.0,1,2,0,1,1,1,1,1,1,1,1,5,2,2,1,1,5,8
0,0.0,0.0,16,0.0,0.0,0.0,4,4,2.0,3.0,3.0,1.0,1,2,0,0,1,0,0,1,1,1,0,2,3,5,1,4,3,12
1,0.0,1.0,16,0.0,1.0,1.0,5,4,4.0,3.0,4.0,1.0,1,4,0,0,0,0,1,1,1,1,0,4,2,2,1,1,2,4
1,0.0,1.0,15,0.0,1.0,1.0,5,3,1.0,2.0,3.0,1.0,1,2,0,0,1,1,0,1,1,0,0,4,3,3,2,2,5,2
0,0.0,0.0,15,0.0,1.0,1.0,5,5,3.0,1.0,2.0,2.0,1,2,1,1,1,0,1,0,1,1,0,4,4,4,1,1,3,2
1,0.0,0.0,16,0.0,0.0,1.0,3,3,3.0,3.0,1.0,1.0,3,2,0,0,1,1,0,1,1,1,0,4,3,3,2,3,4,2
1,0.0,0.0,15,0.0,0.0,1.0,5,3,4.0,2.0,2.0,1.0,1,2,0,0,1,1,0,1,1,1,0,4,3,3,1,1,5,2
0,0.0,1.0,15,0.0,0.0,0.0,5,3,4.0,4.0,2.0,2.0,2,1,1,0,0,0,0,1,1,0,0,5,5,5,3,4,5,6
0,0.0,0.0,15,0.0,1.0,1.0,5,5,3.0,3.0,1.0,1.0,1,1,0,1,1,1,0,1,1,1,0,3,3,4,2,3,5,0
1,0.0,0.0,15,0.0,0.0,0.0,4,4,2.0,2.0,2.0,1.0,1,1,0,0,0,1,0,1,1,1,0,5,3,4,4,4,1,6
0,0.0,0.0,16,0.0,1.0,0.0,3,2,2.0,2.0,2.0,1.0,1,2,0,0,0,1,1,1,1,1,1,5,3,4,1,1,2,8
1,0.0,0.0,15,0.0,1.0,0.0,5,4,3.0,3.0,4.0,1.0,1,2,0,0,1,1,1,1,1,1,0,4,3,2,1,1,1,0
1,0.0,1.0,15,0.0,1.0,1.0,5,5,1.0,4.0,4.0,1.0,1,2,0,0,1,0,1,1,1,0,0,3,2,2,1,1,5,4
0,0.0,1.0,15,0.0,0.0,1.0,2,3,2.0,5.0,3.0,2.0,1,2,0,1,1,0,1,1,1,1,0,4,3,2,1,1,5,2
1,0.0,0.0,16,0.0,1.0,1.0,5,3,3.0,2.0,1.0,1.0,1,2,0,0,1,0,0,1,1,1,0,4,2,3,1,1,5,2
0,0.0,0.0,16,1.0,1.0,1.0,5,5,4.0,1.0,2.0,1.0,1,2,0,0,1,0,1,1,1,0,0,2,4,4,2,3,4,6
0,0.0,0.0,16,0.0,1.0,1.0,2,2,3.0,3.0,1.0,2.0,4,1,0,1,1,0,1,0,1,1,1,5,5,5,5,5,5,6
0,0.0,0.0,16,0.0,0.0,1.0,2,3,2.0,3.0,4.0,2.0,1,2,0,1,0,0,1,1,1,1,0,4,4,3,1,1,1,4
0,0.0,0.0,16,0.0,1.0,1.0,5,4,1.0,4.0,3.0,1.0,1,3,0,1,1,1,1,1,1,1,0,3,4,4,2,4,4,2
0,0.0,0.0,15,0.0,0.0,1.0,5,4,3.0,3.0,4.0,2.0,1,2,0,1,0,0,1,1,1,1,1,4,4,4,2,4,2,0
1,0.0,0.0,16,0.0,0.0,1.0,5,4,1.0,3.0,1.0,1.0,3,2,0,0,1,0,1,1,1,1,0,5,4,3,1,2,1,2
1,0.0,1.0,15,0.0,1.0,0.0,5,5,2.0,3.0,4.0,1.0,1,4,0,0,1,0,1,0,1,1,1,1,3,3,5,5,3,4
0,0.0,0.0,16,0.0,1.0,1.0,4,2,3.0,2.0,1.0,1.0,1,4,0,1,1,1,0,1,1,1,0,4,3,3,1,2,5,4
0,0.0,0.0,15,1.0,0.0,1.0,3,3,4.0,3.0,4.0,1.0,2,2,0,1,1,1,0,1,1,1,0,4,1,3,1,3,4,2
1,0.0,0.0,15,1.0,0.0,1.0,4,2,2.0,2.0,4.0,2.0,2,4,0,0,1,0,0,0,1,1,0,4,4,2,2,3,3,12
1,0.0,1.0,16,0.0,1.0,1.0,4,2,2.0,2.0,4.0,2.0,2,4,0,0,1,1,0,1,1,1,0,4,3,2,1,1,5,0
0,0.0,1.0,15,0.0,1.0,1.0,5,3,2.0,2.0,1.0,1.0,1,4,0,0,0,0,0,1,1,1,0,3,3,3,1,1,3,0
0,0.0,0.0,15,1.0,1.0,1.0,2,2,2.0,2.0,4.0,1.0,1,2,2,1,1,0,0,0,1,1,1,3,3,4,2,4,5,2
1,0.0,1.0,16,0.0,1.0,1.0,4,2,2.0,2.0,4.0,1.0,1,1,0,0,0,0,1,1,1,0,0,5,3,2,2,2,5,2
0,0.0,0.0,16,0.0,1.0,1.0,4,4,2.0,3.0,3.0,1.0,1,2,0,1,1,1,1,1,1,1,0,4,3,3,2,4,5,54
0,0.0,1.0,15,0.0,1.0,1.0,5,4,1.0,2.0,3.0,1.0,1,2,0,0,1,1,1,1,1,1,0,4,3,3,2,3,5,6
0,0.0,1.0,15,0.0,1.0,1.0,5,1,1.0,2.0,1.0,1.0,2,4,0,0,0,0,1,1,1,1,0,3,4,3,1,1,1,8
0,0.0,0.0,16,0.0,1.0,1.0,3,3,2.0,2.0,4.0,1.0,1,4,0,0,0,1,0,1,1,1,1,5,2,3,1,3,3,0
0,0.0,1.0,17,0.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,2,1,3,1,1,0,1,1,0,1,0,4,5,1,1,1,3,2
0,0.0,0.0,16,0.0,1.0,1.0,4,5,5.0,2.0,1.0,1.0,1,2,0,0,1,0,0,1,1,1,0,2,4,3,1,2,3,12
1,0.0,1.0,15,0.0,1.0,1.0,3,4,2.0,3.0,1.0,2.0,1,1,0,1,1,1,1,0,1,1,1,3,2,2,1,3,3,2
0,0.0,1.0,15,0.0,1.0,1.0,3,4,2.0,2.0,3.0,1.0,1,3,0,1,0,1,0,0,1,1,0,5,3,2,1,2,5,4
0,0.0,0.0,15,0.0,0.0,1.0,4,3,3.0,2.0,4.0,1.0,1,2,0,0,1,1,0,1,1,1,0,4,4,4,1,1,5,10
1,0.0,1.0,15,0.0,0.0,1.0,3,3,3.0,3.0,3.0,1.0,2,2,0,0,0,1,1,1,1,1,0,5,3,3,1,3,4,4
0,0.0,0.0,15,0.0,1.0,1.0,2,2,2.0,2.0,3.0,2.0,1,2,0,0,1,0,1,0,1,1,0,4,3,2,2,3,4,2
0,0.0,0.0,15,0.0,1.0,1.0,5,5,3.0,3.0,4.0,2.0,2,2,2,0,0,1,0,1,1,1,1,4,4,4,2,3,5,6
0,0.0,0.0,16,0.0,0.0,1.0,3,3,5.0,2.0,1.0,1.0,1,2,0,0,1,0,0,1,1,0,0,4,3,4,1,2,2,4
1,0.0,0.0,15,0.0,1.0,1.0,5,3,2.0,2.0,4.0,1.0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,3,1,4
0,0.0,1.0,16,0.0,1.0,1.0,3,3,3.0,2.0,4.0,2.0,2,2,1,0,0,1,1,0,1,1,0,4,4,2,1,1,3,12
0,0.0,1.0,16,0.0,0.0,0.0,5,5,1.0,4.0,4.0,1.0,1,2,0,0,1,0,0,1,1,0,0,4,1,3,3,5,5,18
0,0.0,0.0,16,0.0,1.0,1.0,4,4,2.0,2.0,3.0,1.0,1,3,0,0,1,1,0,1,1,1,1,4,3,3,1,3,4,0
1,0.0,0.0,15,0.0,1.0,1.0,5,4,3.0,2.0,4.0,1.0,1,1,0,0,0,1,1,1,1,1,0,4,5,5,1,3,1,4
0,0.0,0.0,16,0.0,0.0,1.0,4,2,2.0,2.0,3.0,2.0,1,2,0,1,1,0,0,1,1,0,0,3,3,3,2,3,2,4
0,0.0,0.0,16,0.0,1.0,1.0,5,3,1.0,3.0,3.0,1.0,2,2,0,0,1,1,1,1,1,1,0,5,3,3,1,1,1,0
1,0.0,1.0,15,0.0,0.0,1.0,3,3,3.0,4.0,4.0,1.0,1,4,0,0,1,0,1,1,1,1,0,4,3,4,1,1,4,6
0,0.0,0.0,15,1.0,1.0,1.0,2,2,5.0,2.0,3.0,1.0,2,4,1,1,1,1,1,1,1,1,0,3,1,2,1,1,1,2
1,0.0,1.0,16,1.0,1.0,1.0,5,4,3.0,2.0,4.0,1.0,2,1,0,1,1,0,1,0,1,1,0,3,3,3,1,1,4,2
0,0.0,0.0,16,0.0,1.0,1.0,3,2,2.0,2.0,1.0,1.0,1,2,0,0,1,1,0,1,1,0,1,4,3,5,1,1,5,2
1,0.0,0.0,16,0.0,1.0,1.0,5,5,2.0,2.0,4.0,1.0,1,1,0,0,0,0,1,0,1,1,0,5,3,4,1,2,1,6
0,0.0,0.0,16,0.0,1.0,1.0,5,4,2.0,5.0,1.0,1.0,1,3,0,1,1,1,0,1,1,1,0,5,3,5,1,1,3,0
0,0.0,1.0,16,0.0,1.0,1.0,5,5,3.0,3.0,2.0,1.0,1,1,0,1,1,1,1,1,1,1,0,4,5,5,5,5,4,14
1,0.0,1.0,16,0.0,1.0,1.0,5,5,3.0,1.0,2.0,2.0,1,3,0,0,1,0,1,1,1,1,1,4,4,3,1,1,4,0
1,0.0,1.0,15,0.0,1.0,1.0,5,5,3.0,2.0,1.0,1.0,1,1,0,0,1,0,1,0,1,1,0,5,3,3,1,1,5,4
0,0.0,0.0,15,0.0,1.0,1.0,4,3,3.0,2.0,3.0,1.0,2,2,0,1,1,1,0,1,1,1,0,4,3,5,1,1,2,26
1,0.0,1.0,15,0.0,1.0,0.0,4,5,3.0,2.0,1.0,1.0,1,2,0,0,1,1,1,1,1,1,0,5,4,4,1,1,1,0
0,0.0,0.0,15,0.0,1.0,0.0,4,4,2.0,4.0,4.0,2.0,1,4,0,1,0,0,0,1,1,0,0,4,3,3,1,1,4,10
0,0.0,0.0,15,0.0,1.0,1.0,3,3,2.0,2.0,1.0,1.0,1,4,0,1,1,1,0,1,1,1,0,5,1,2,1,1,3,8
1,0.0,1.0,16,0.0,1.0,1.0,4,4,3.0,2.0,3.0,2.0,1,3,0,0,1,0,1,1,1,1,0,5,3,3,1,1,5,2
1,0.0,1.0,15,1.0,1.0,1.0,5,5,2.0,2.0,3.0,2.0,4,4,0,0,1,1,1,1,1,1,1,1,3,5,3,5,1,6
1,0.0,0.0,16,0.0,0.0,1.0,5,5,4.0,4.0,2.0,1.0,1,3,0,0,1,1,1,1,1,1,1,5,4,5,1,1,4,4
1,0.0,1.0,15,0.0,0.0,0.0,5,5,1.0,1.0,1.0,1.0,1,1,0,0,0,0,1,1,1,1,0,5,5,3,1,1,4,6
0,0.0,0.0,16,1.0,1.0,1.0,4,4,3.0,2.0,4.0,2.0,1,3,1,1,1,0,1,1,1,1,0,4,1,2,1,1,2,0
1,0.0,0.0,16,0.0,1.0,1.0,3,3,5.0,2.0,3.0,1.0,1,2,1,1,0,0,1,1,1,1,0,3,1,2,1,1,5,6
1,0.0,1.0,15,0.0,0.0,1.0,5,3,1.0,2.0,1.0,1.0,1,1,0,0,0,0,0,1,1,1,0,3,5,2,1,1,3,10
0,0.0,1.0,15,1.0,1.0,1.0,3,2,4.0,3.0,4.0,1.0,1,2,0,0,0,0,1,1,1,1,1,5,4,2,1,1,5,8
1,0.0,1.0,16,0.0,1.0,1.0,5,5,1.0,1.0,1.0,2.0,1,2,0,0,1,0,1,1,1,1,0,5,4,4,1,2,5,2
1,0.0,1.0,15,0.0,1.0,1.0,5,5,2.0,1.0,4.0,2.0,2,2,0,0,1,0,1,1,1,0,0,4,4,3,1,1,2,2
1,0.0,1.0,16,0.0,1.0,1.0,4,4,2.0,3.0,3.0,2.0,2,1,0,0,0,0,1,1,1,1,0,5,4,2,1,1,5,0
0,0.0,1.0,17,1.0,1.0,1.0,2,4,2.0,2.0,1.0,2.0,3,2,1,0,1,0,1,1,1,1,0,5,2,4,1,4,5,20
1,0.0,1.0,15,0.0,1.0,1.0,4,5,2.0,2.0,4.0,2.0,1,1,0,0,0,0,0,1,1,1,0,3,4,3,1,2,4,6
1,0.0,0.0,15,0.0,1.0,1.0,2,3,5.0,3.0,1.0,1.0,1,2,0,0,0,0,0,0,1,1,0,3,2,3,1,2,1,2
1,0.0,1.0,15,0.0,1.0,1.0,3,3,3.0,3.0,3.0,2.0,1,4,0,0,1,1,1,1,1,1,0,5,5,4,1,2,5,6
1,0.0,0.0,16,0.0,0.0,1.0,3,5,2.0,4.0,1.0,2.0,2,2,0,0,1,1,1,1,1,1,1,4,2,2,1,2,5,2
1,0.0,1.0,16,0.0,1.0,1.0,5,5,4.0,2.0,1.0,1.0,1,1,0,0,1,0,1,1,1,1,0,3,4,4,1,4,5,18
0,0.0,0.0,16,0.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,1,2,0,0,0,1,0,1,1,1,1,5,4,4,1,1,5,0
1,0.0,1.0,15,0.0,1.0,1.0,4,5,3.0,3.0,3.0,2.0,1,1,0,1,0,0,0,1,1,1,0,5,5,5,3,2,5,0
0,0.0,0.0,15,0.0,0.0,0.0,4,5,2.0,2.0,3.0,1.0,1,2,0,1,0,0,1,1,1,1,1,5,3,2,1,1,1,0
0,0.0,0.0,19,0.0,1.0,1.0,1,2,5.0,2.0,1.0,3.0,1,2,3,0,1,0,0,0,0,0,0,3,4,2,1,1,5,2
0,0.0,1.0,18,1.0,1.0,1.0,3,3,3.0,2.0,4.0,1.0,1,1,2,0,1,0,1,1,1,1,0,3,3,3,1,2,4,0
1,0.0,1.0,16,1.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,1,1,0,0,0,1,1,1,1,1,0,3,5,5,2,5,4,8
0,0.0,0.0,15,1.0,1.0,1.0,4,5,3.0,1.0,1.0,2.0,2,3,2,0,1,0,0,1,1,1,1,4,2,2,2,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,2,2,5.0,2.0,1.0,1.0,3,1,0,0,1,0,1,0,1,1,1,4,3,3,1,2,4,0
1,0.0,0.0,17,0.0,0.0,1.0,3,3,2.0,2.0,1.0,2.0,1,1,0,0,1,0,0,1,1,1,1,3,4,4,1,3,5,12
0,0.0,0.0,16,0.0,1.0,0.0,4,5,3.0,2.0,1.0,2.0,1,1,0,0,0,0,0,1,1,1,0,3,2,1,1,4,5,16
0,0.0,1.0,15,1.0,1.0,1.0,4,5,5.0,1.0,1.0,1.0,4,2,0,0,1,0,0,1,1,0,1,5,3,3,1,1,5,0
0,0.0,0.0,15,0.0,1.0,1.0,5,5,3.0,5.0,1.0,1.0,1,3,0,0,1,0,1,1,1,1,1,4,3,3,1,1,5,0
0,0.0,1.0,17,1.0,1.0,1.0,4,5,5.0,2.0,1.0,1.0,3,2,0,0,0,0,0,1,1,0,0,5,4,5,2,4,5,0
0,0.0,0.0,16,0.0,1.0,0.0,4,4,2.0,2.0,1.0,3.0,2,1,2,0,1,0,1,0,1,1,1,4,3,2,1,1,5,0
1,0.0,1.0,16,0.0,0.0,1.0,2,2,3.0,2.0,1.0,1.0,1,2,1,0,0,0,0,1,1,0,1,4,4,4,1,3,5,0
1,0.0,0.0,15,0.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,2,1,0,0,0,0,1,1,1,1,0,4,3,2,1,1,5,0
0,0.0,1.0,15,0.0,1.0,1.0,5,4,1.0,3.0,1.0,2.0,2,4,0,1,1,0,0,1,1,1,0,2,2,2,1,1,3,0
0,0.0,1.0,16,0.0,0.0,1.0,3,3,3.0,3.0,4.0,2.0,2,1,2,0,1,0,1,1,1,1,0,2,3,3,2,2,2,8
0,0.0,0.0,15,0.0,1.0,1.0,5,5,1.0,3.0,1.0,1.0,1,3,0,0,1,1,1,1,1,1,0,4,2,2,1,1,5,2
1,0.0,0.0,16,0.0,0.0,1.0,2,2,5.0,5.0,1.0,1.0,1,1,0,0,0,0,0,1,1,1,0,3,4,4,3,3,1,2
0,0.0,1.0,17,0.0,1.0,1.0,3,2,2.0,2.0,3.0,1.0,1,1,3,0,1,0,0,1,1,1,0,5,4,5,1,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,2,2,2.0,3.0,1.0,2.0,1,2,0,0,1,1,0,1,1,1,0,4,4,2,1,2,5,0
0,0.0,0.0,15,0.0,1.0,1.0,4,3,4.0,3.0,3.0,2.0,1,2,3,0,1,0,0,1,1,1,0,3,3,2,1,1,3,0
0,0.0,0.0,15,0.0,1.0,1.0,2,3,5.0,2.0,1.0,1.0,1,2,0,0,1,1,0,0,1,1,0,4,3,2,1,1,5,2
0,0.0,1.0,16,0.0,1.0,1.0,5,5,1.0,1.0,1.0,1.0,1,1,0,0,1,0,0,1,0,1,1,3,3,2,2,1,5,0
0,0.0,1.0,15,0.0,0.0,0.0,3,2,3.0,2.0,1.0,1.0,4,1,3,0,0,0,0,1,1,1,0,4,5,5,2,5,5,0
0,0.0,1.0,18,0.0,0.0,1.0,2,2,2.0,2.0,1.0,1.0,1,1,3,0,0,0,0,1,0,1,1,2,3,5,2,5,4,0
1,0.0,1.0,16,0.0,0.0,1.0,3,2,5.0,2.0,1.0,1.0,1,1,1,0,0,0,1,1,1,0,1,4,4,4,3,5,5,6
0,0.0,0.0,15,1.0,1.0,1.0,4,4,3.0,3.0,4.0,3.0,2,3,2,0,1,1,1,1,1,1,1,4,2,1,2,3,3,8
0,0.0,1.0,19,0.0,1.0,1.0,4,3,3.0,5.0,3.0,1.0,1,1,3,0,1,0,0,1,0,1,1,4,5,4,1,1,4,0
1,0.0,0.0,17,0.0,1.0,1.0,5,5,2.0,1.0,1.0,1.0,1,1,0,1,1,0,0,1,1,0,1,4,2,1,1,1,4,0
0,0.0,1.0,15,1.0,1.0,1.0,3,4,5.0,3.0,1.0,1.0,1,2,0,1,0,1,1,1,1,0,0,4,4,4,1,1,1,2
1,0.0,1.0,17,1.0,0.0,1.0,2,3,2.0,2.0,4.0,1.0,1,1,0,0,0,0,0,1,1,0,0,2,2,2,3,3,5,8
0,0.0,0.0,18,1.0,1.0,1.0,2,2,5.0,2.0,1.0,1.0,3,1,3,0,1,0,1,0,1,0,0,5,2,5,1,5,4,6
1,0.0,1.0,16,1.0,1.0,1.0,3,3,5.0,2.0,1.0,1.0,3,1,0,0,0,0,0,0,1,0,0,4,2,2,1,2,3,2
1,0.0,1.0,16,0.0,1.0,1.0,4,4,2.0,3.0,1.0,2.0,1,2,1,0,1,1,0,1,1,1,1,4,5,5,4,4,5,4
0,0.0,1.0,17,1.0,0.0,1.0,3,2,5.0,2.0,1.0,1.0,2,1,2,0,0,0,1,1,0,1,1,3,3,2,2,2,5,0
0,0.0,1.0,15,1.0,1.0,1.0,4,3,2.0,2.0,1.0,1.0,2,2,2,1,1,0,0,1,1,1,1,4,4,4,1,4,3,6
0,0.0,1.0,16,0.0,0.0,1.0,2,3,2.0,2.0,1.0,1.0,2,1,1,0,0,0,1,1,1,0,0,4,4,4,2,4,5,0
0,0.0,1.0,17,0.0,1.0,1.0,2,4,5.0,3.0,1.0,2.0,1,1,0,0,0,0,0,1,0,1,0,5,3,3,1,4,2,2
0,0.0,1.0,17,1.0,0.0,1.0,2,2,2.0,3.0,1.0,1.0,4,2,3,0,0,0,1,1,0,0,1,5,3,5,1,5,5,0
1,0.0,1.0,16,0.0,1.0,1.0,4,3,3.0,3.0,1.0,1.0,2,1,1,0,1,0,1,0,0,0,0,4,5,2,1,1,2,16
0,0.0,1.0,16,0.0,1.0,1.0,3,3,2.0,2.0,1.0,2.0,1,2,0,0,0,0,0,1,0,1,0,4,3,5,2,4,4,4
1,0.0,0.0,16,0.0,1.0,1.0,5,3,4.0,3.0,3.0,2.0,1,2,0,0,0,1,0,1,1,1,1,4,2,3,1,1,3,0
0,0.0,0.0,16,0.0,1.0,1.0,3,3,2.0,2.0,3.0,1.0,1,2,0,0,1,1,0,0,1,1,0,5,1,5,1,1,4,0
1,0.0,0.0,16,0.0,1.0,1.0,5,5,4.0,4.0,4.0,1.0,1,2,0,0,1,1,0,1,1,1,1,4,4,2,1,1,3,0
0,0.0,1.0,16,0.0,1.0,1.0,4,5,2.0,2.0,1.0,2.0,3,1,2,0,1,0,1,0,1,1,0,3,4,5,2,4,2,0
1,0.0,1.0,16,0.0,1.0,1.0,2,1,2.0,2.0,4.0,1.0,2,2,0,0,1,1,1,1,1,1,1,4,3,2,1,1,3,2
